idEuropeanRegion,Name,Type,Country,OtherRegion,idCountry,idTerritory
221,"Saint Peter Port",Parish,Guernsey,"["Guernsey"]",NULL,26
222,Sark,Parish,Guernsey,"["Sark"]",NULL,26
223,"Saint Pierre du Bois",Parish,Guernsey,"["Guernsey"]",NULL,26
224,"Saint Sampson",Parish,Guernsey,"["Guernsey"]",NULL,26
225,"Saint Saviour, GG",Parish,Guernsey,"["Guernsey"]",NULL,26
226,Torteval,Parish,Guernsey,"["Guernsey"]",NULL,26
227,Vale,Parish,Guernsey,"["Guernsey"]",NULL,26
228,Gwynedd,County,Wales,"["Gwynedd"]",186,NULL
230,Auvergne-Rhône-Alpes,Region,France,"["Ain", "Allier", "Ardèche", "Cantal", "Drôme", "Isère", "Loire", "Haute-Loire", "Puy-de-Dôme", "Rhône", "Savoie", "Haute-Savoie"]",60,NULL
231,Bourgogne-Franche-Comté,Region,France,"["Côte-d'Or", "Doubs", "Jura, FR", "Nièvre", "Haute-Saône", "Saône-et-Loire", "Yonne", "Territoire de Belfort"]",60,NULL
232,"Centre-Val de Loire",Region,France,"["Cher", "Eure-et-Loir", "Indre", "Indre-et-Loire", "Loir-et-Cher", "Loiret"]",60,NULL
233,"Grand Est",Region,France,"["Ardennes", "Aube", "Marne", "Haute-Marne", "Meurthe-et-Moselle", "Meuse", "Moselle", "Bas-Rhin", "Haut-Rhin", "Vosges"]",60,NULL
234,Guadeloupe,Region,France,NULL,60,NULL
235,Hauts-de-France,Region,France,"["Aisne", "Nord", "Oise", "Pas-de-Calais", "Somme"]",60,NULL
236,Île-de-France,Region,France,"["Paris", "Seine-et-Marne", "Yvelines", "Essonne", "Hauts-de-Seine", "Seine-Saint-Denis", "Val-de-Marne", "Val-d'Oise"]",60,NULL
237,Martinique,Region,France,NULL,60,NULL
238,Mayotte,Region,France,NULL,60,NULL
239,Nouvelle-Aquitaine,Region,France,"["Charente", "Charente-Maritime", "Corrèze", "Creuse", "Dordogne", "Gironde", "Landes", "Lot-et-Garonne", "Pyrénées-Atlantiques", "Deux-Sèvres", "Vienne", "Haute-Vienne"]",60,NULL
240,"Pays de la Loire",Region,France,"["Loire-Atlantique", "Maine-et-Loire", "Mayenne", "Sarthe", "Vendée"]",60,NULL
241,"Provence-Alpes-Côte d'Azur",Region,France,"["Alpes-de-Haute-Provence", "Hautes-Alpes", "Alpes-Maritimes", "Bouches-du-Rhône", "Var", "Vaucluse"]",60,NULL
242,Bretagne,Region,France,"["Côtes-d'Armor", "Finistère", "Ille-et-Vilaine", "Morbihan"]",60,NULL
243,Corse,Region,France,"["Corse-du-Sud", "Haute-Corse"]",60,NULL
244,Guyane,Region,France,"["French Guiana"]",60,NULL
245,Normandie,Region,France,"["Calvados", "Eure", "Manche", "Orne", "Seine-Maritime"]",60,NULL
246,Occitanie,Region,France,"["Ariège", "Aude", "Aveyron", "Gard", "Haute-Garonne", "Gers", "Hérault", "Lot", "Lozère", "Hautes-Pyrénées", "Pyrénées-Orientales", "Tarn", "Tarn-et-Garonne"]",60,NULL
247,"La Réunion",Region,France,"["Réunion"]",60,NULL
248,Capellen,Canton,Luxembourg,"["Kapellen"]",101,NULL
249,Clervaux,Canton,Luxembourg,"["Klierf"]",101,NULL
250,Diekirch,Canton,Luxembourg,NULL,101,NULL
251,Echternach,Canton,Luxembourg,"["Iechternach"]",101,NULL
252,Esch-sur-Alzette,Canton,Luxembourg,"["Esch-Uelzecht"]",101,NULL
253,Grevenmacher,Canton,Luxembourg,"["Gréiwemaacher"]",101,NULL
254,"Luxembourg, LU",Canton,Luxembourg,"["Lëtzebuerg"]",101,NULL
255,Mersch,Canton,Luxembourg,"["Miersch"]",101,NULL
256,Redange,Canton,Luxembourg,"["Réiden"]",101,NULL
257,Remich,Canton,Luxembourg,"["Réimech"]",101,NULL
258,Vianden,Canton,Luxembourg,"["Veianen"]",101,NULL
259,Wiltz,Canton,Luxembourg,"["Wolz"]",101,NULL
260,Monaco,Country,Monaco,NULL,114,NULL
261,"Andorra la Vella",Parish,Andorra,NULL,4,NULL
262,Canillo,Parish,Andorra,NULL,4,NULL
263,Encamp,Parish,Andorra,NULL,4,NULL
264,Escaldes–Engordany,Parish,Andorra,NULL,4,NULL
265,"La Massana",Parish,Andorra,NULL,4,NULL
266,Ordino,Parish,Andorra,NULL,4,NULL
267,"Sant Julià de Lòria",Parish,Andorra,NULL,4,NULL
268,Andalucía,"Autonomous Community",Spain,"["Andalusia"]",165,NULL
269,Aragón,"Autonomous Community",Spain,"["Aragon"]",165,NULL
270,Asturias,"Autonomous Community",Spain,NULL,165,NULL
271,Canarias,"Autonomous Community",Spain,"["Canary Islands"]",165,NULL
272,Cantabria,"Autonomous Community",Spain,NULL,165,NULL
273,"Castilla y León","Autonomous Community",Spain,"["Castile and León"]",165,NULL
274,"Castilla–La Mancha","Autonomous Community",Spain,NULL,165,NULL
275,Catalunya,"Autonomous Community",Spain,"["Catalonia"]",165,NULL
276,Ceuta,"Autonomous City",Spain,NULL,165,NULL
277,"Comunidad de Madrid","Autonomous Community",Spain,"["Madrid"]",165,NULL
278,"Comunitat Valenciana","Autonomous Community",Spain,"["Valencia"]",165,NULL
279,Euskadi,"Autonomous Community",Spain,"["Basque Country"]",165,NULL
280,Extremadura,"Autonomous Community",Spain,NULL,165,NULL
281,Galicia,"Autonomous Community",Spain,NULL,165,NULL
282,"Illes Balears","Autonomous Community",Spain,"["Balearic Islands"]",165,NULL
283,"La Rioja","Autonomous Community",Spain,NULL,165,NULL
284,Melilla,"Autonomous City",Spain,NULL,165,NULL
285,Navarra,"Autonomous Community",Spain,"["Navarre"]",165,NULL
286,"Región de Murcia","Autonomous Community",Spain,"["Murcia"]",165,NULL
287,"Plazas de soberanía","Unincorporated Area",Spain,"["Strongholds of Sovereignty"]",165,NULL
288,Gibraltar,Territory,Gibraltar,NULL,NULL,23
289,Açores,"Autonomous Region",Portugal,"["Azores"]",140,NULL
290,Aveiro,District,Portugal,NULL,140,NULL
291,Beja,District,Portugal,NULL,140,NULL
292,Braga,District,Portugal,NULL,140,NULL
293,Bragança,District,Portugal,NULL,140,NULL
294,"Castelo Branco",District,Portugal,NULL,140,NULL
295,Coimbra,District,Portugal,NULL,140,NULL
296,Évora,District,Portugal,NULL,140,NULL
297,Faro,District,Portugal,NULL,140,NULL
298,Guarda,District,Portugal,NULL,140,NULL
299,Leiria,District,Portugal,NULL,140,NULL
300,Lisboa,District,Portugal,"["Lisbon"]",140,NULL
301,Madeira,District,Portugal,NULL,140,NULL
302,Portalegre,District,Portugal,NULL,140,NULL
303,Porto,District,Portugal,NULL,140,NULL
304,Santarém,District,Portugal,NULL,140,NULL
305,Setúbal,District,Portugal,NULL,140,NULL
306,"Viana do Castelo",District,Portugal,NULL,140,NULL
307,"Vila Real",District,Portugal,NULL,140,NULL
308,Viseu,District,Portugal,NULL,140,NULL
